"Ind","Sex","Group","variable","value"
"2_4","m","Black","Uln1",232
"2_5","m","Black","Uln1",235
"2_6","m","Black","Uln1",238
"2_7","m","Black","Uln1",242
"2_8","m","Black","Uln1",245
"2_9","m","Black","Uln1",248
"2_10","m","Black","Uln1",251
"2_11","m","Black","Uln1",254
"2_12","m","Black","Uln1",257
"2_13","m","Black","Uln1",260
"2_14","m","Black","Uln1",263
"2_15","m","Black","Uln1",266
"2_16","m","Black","Uln1",269
"2_17","m","Black","Uln1",272
"2_18","m","Black","Uln1",275
"2_19","m","Black","Uln1",278
"2_20","m","Black","Uln1",281
"1_28","m","White","Uln1",284
"1_29","m","White","Uln1",286
"1_30","m","White","Uln1",289
"1_31","m","White","Uln1",292
"2_25","m","Black","Uln1",297
"2_26","m","Black","Uln1",300
"2_27","m","Black","Uln1",303
"2_28","m","Black","Uln1",306
"2_29","m","Black","Uln1",309
"2_30","m","Black","Uln1",312
"2_31","m","Black","Uln1",315
"2_32","m","Black","Uln1",318
"2_33","m","Black","Uln1",321
"2_34","m","Black","Uln1",324
"2_35","m","Black","Uln1",327
"2_36","m","Black","Uln1",330
"2_37","m","Black","Uln1",333
"2_38","m","Black","Uln1",336
"2_39","m","Black","Uln1",340
"2_40","m","Black","Uln1",343
"2_41","m","Black","Uln1",346
"2_42","m","Black","Uln1",349
"2_43","m","Black","Uln1",352
"2_44","m","Black","Uln1",355
"2_45","m","Black","Uln1",358
"2_46","m","Black","Uln1",361
"2_47","m","Black","Uln1",364
"3_1","f","White","Uln1",193
"3_2","f","White","Uln1",195
"3_3","f","White","Uln1",197
"3_4","f","White","Uln1",200
"3_5","f","White","Uln1",202
"3_6","f","White","Uln1",204
"3_7","f","White","Uln1",207
"3_8","f","White","Uln1",209
"3_9","f","White","Uln1",211
"3_10","f","White","Uln1",214
"3_11","f","White","Uln1",216
"3_12","f","White","Uln1",218
"3_13","f","White","Uln1",221
"3_14","f","White","Uln1",223
"3_15","f","White","Uln1",225
"3_16","f","White","Uln1",228
